                sˈɑ̃ : s'en, cent, sans, san, cents, sent, sang
                vwˈa : voies, voit, voix, voie, voient, vois
                kˈɛl : quelles, qu'elles, quelle, quels, quel, qu'elle
                 dˈi : dits, die, di, dis, dit, d'y
                  ˈo : eau, haut, eaux, aux, hauts, au
             akɔʁdˈe : accordés, accordé, accordée, accorder, accordées
          kɔ̃sideʁˈe : considéré, considérées, considérée, considérer, considérés
             anɔ̃sˈe : annoncées, annoncer, annoncés, annoncé, annoncée
            pʁɔpozˈe : proposer, proposées, proposé, proposée, proposés
                klˈe : clefs, clé, claes, clés, clef
            ʁezɛʁvˈe : réservée, réservés, réserver, réservé, réservées
                kˈɑ̃ : qu'en, camps, quand, quant, camp
                 nˈe : nez, nés, née, né, n'ai
              lɑ̃sˈe : lancés, lancé, lancées, lancée, lancer
            ɛ̃teɡʁˈe : intégrer, intégrées, intégrée, intégrés, intégré
            ɛ̃vɛstˈi : investi, investie, investies, investit, investis
             aplikˈe : appliqué, appliquées, appliquer, appliquée, appliqués
         ʁəpʁezɑ̃tˈe : représenté, représentées, représentée, représenter, représentés
           ɛ̃teʁɛsˈe : intéressées, intéressé, intéressée, intéressés, intéresser
               pɛjˈe : payée, payées, payé, payés, payer
              fiksˈe : fixée, fixé, fixées, fixer, fixés
                sˈɑ̃ : s'en, cent, sans, san, cents, sent, sang
                vwˈa : voies, voit, voix, voie, voient, vois
                kˈɛl : quelles, qu'elles, quelle, quels, quel, qu'elle
                 dˈi : dits, die, di, dis, dit, d'y
                  ˈo : eau, haut, eaux, aux, hauts, au
             akɔʁdˈe : accordés, accordé, accordée, accorder, accordées
          kɔ̃sideʁˈe : considéré, considérées, considérée, considérer, considérés
             anɔ̃sˈe : annoncées, annoncer, annoncés, annoncé, annoncée
            pʁɔpozˈe : proposer, proposées, proposé, proposée, proposés
                klˈe : clefs, clé, claes, clés, clef
            ʁezɛʁvˈe : réservée, réservés, réserver, réservé, réservées
                kˈɑ̃ : qu'en, camps, quand, quant, camp
                 nˈe : nez, nés, née, né, n'ai
              lɑ̃sˈe : lancés, lancé, lancées, lancée, lancer
            ɛ̃teɡʁˈe : intégrer, intégrées, intégrée, intégrés, intégré
            ɛ̃vɛstˈi : investi, investie, investies, investit, investis
             aplikˈe : appliqué, appliquées, appliquer, appliquée, appliqués
         ʁəpʁezɑ̃tˈe : représenté, représentées, représentée, représenter, représentés
           ɛ̃teʁɛsˈe : intéressées, intéressé, intéressée, intéressés, intéresser
               pɛjˈe : payée, payées, payé, payés, payer
              fiksˈe : fixée, fixé, fixées, fixer, fixés
           ɔʁɡanizˈe : organisée, organiser, organisé, organisées, organisés
            ytilizˈe : utiliser, utilisées, utilisé, utilisés, utilisée
               aʃtˈe : achetée, acheté, achetées, acheter, achetés
                vˈɛʁ : verres, vers, vert, verts, verre
               kʁeˈe : créé, créer, créées, créés, créée
             limitˈe : limitées, limités, limiter, limitée, limité
         pʁivileʒjˈe : privilégiés, privilégiées, privilégié, privilégier, privilégiée
            ʁealizˈe : réaliser, réalisé, réalisées, réalisés, réalisée
              ʃaʁʒˈe : chargée, chargé, chargées, charger, chargés
              plasˈe : placer, placé, placées, placée, placés
             adaptˈe : adaptés, adaptée, adaptées, adapter, adapté
            ɛ̃stalˈe : installée, installer, installées, installés, installé
              sityˈe : situer, situées, situés, située, situé
            devlɔpˈe : développer, développés, développé, développées, développée
          ɑ̃ʁʒistʁˈe : enregistrée, enregistré, enregistrés, enregistrer, enregistrées
            efɛktyˈe : effectués, effectuée, effectuées, effectuer, effectué
                 ˈɛl : elle, ailes, elles, el, l
             etablˈi : établis, établie, établies, établit, établi
             pybliˈe : publiée, publiés, publier, publiées, publié
               kˈɔ̃t : compte, comptes, conte, comptent, comte
               aplˈe : appelée, appelé, appelées, appeler, appelés
               pasˈe : passée, passées, passé, passer, passés
                kˈuʁ : courent, courts, court, cour, cours
              vɛʁsˈe : verser, versé, versés, versée, versées
                ʒˈɑ̃ : gens, jeans, jan, jean, j'en
              fuʁnˈi : fournit, fournies, fournie, fourni, fournis
           pʁezɑ̃tˈe : présenté, présentée, présentées, présenter, présentés
             ɛ̃pozˈe : imposée, imposé, imposer, imposées, imposés
               ʒyʒˈe : jugée, jugées, jugé, juger, jugés
            ɡaʁɑ̃tˈi : garanti, garantie, garantis, garantit, garanties
             avɑ̃sˈe : avancer, avancés, avancé, avancée, avancées
               dɔnˈe : donné, donner, donnée, données, donnés
                bˈaʁ : bar, bars, barres, barre, bart
        tʁadisjɔnˈɛl : traditionnelles, traditionnelle, traditionnels, traditionnel
            kɑ̃pˈanj : campagnes
              albˈɛʁ : albert
              moʁˈis : maurice
           puʁsyivˈi : poursuivi
               ʁəmˈi : remis
              simˈɔ̃ : simon
              suɛtˈɛ : souhaitait
              dˌeˈɛʁ : dr
               kˈatʁ : quatre
               defˈɛ : d'effets
               mˈaks : max
           dispaʁˈɛs : disparaissent
               ivˈɑ̃ : yvan
             paʁlˈɑ̃ : parlant
              ˈaʁθœʁ : arthur
            ɔptimˈal : optimale
         syʁpʁənˈɑ̃t : surprenante
              pʁənˈɛ : prenait
              vjˈɛʁʒ : vierge
              ʃasˈœʁ : chasseurs
      paʁtikylaʁitˈe : particularité
              teɔʁˈi : théorie
              odəsˈy : au-dessus
            dezˈɔʁdʁ : désordre
          kɔ̃kyʁˈɑ̃t : concurrentes
            pasjˈɑ̃s : patience
               ʁeʒˈi : régie
               admˈi : admis
              latˈin : latine
              kʁeˈɑ̃ : créant
           mɔtɔʁɔlˈa : motorola
               bˈatʁ : battre
                ˈɔ̃d : ondes
             ʁəpʁˈɔʃ : reproche
               ɡiʃˈɛ : guichet
             daʒutˈe : d'ajouter
           syplemˈɑ̃ : supplément
             maɡʁˈit : magritte
        ʁɑ̃tabilizˈe : rentabiliser
             tʁɑ̃ʃˈe : trancher
              finˈis : finissent
            latitˈyd : l'attitude
              ʁəɡˈɛ̃ : regain
       veʁitabləmˈɑ̃ : véritablement
             maʁtˈɛ̃ : martin
               ʁˈɑ̃d : rendent
             ʒˈyskɑ̃ : jusqu'en
              fiskˈo : fiscaux
         tʁɑ̃spaʁˈɑ̃ : transparent
           flɛksˈibl : flexible
                 ˈɛʁ : air
         lefikasitˈe : l'efficacité
            leʁitˈaʒ : l'héritage
               kˈylt : culte
             melˈɑ̃ʒ : mélange
              almˈaɲ : allemagne
               ulˈɛt : houlette
           syʁvivˈɑ̃ : survivant
               puʁˈe : pourrez
               ʁyˈin : ruines
            lˈiːdœʁz : leaders
             dyʁmˈɑ̃ : durement
           ɑ̃dikapˈe : handicapés
              dəmˈɛ̃ : demain
            akɔ̃plˈi : accompli
              ʒeʁˈɑ̃ : gérant
              puvˈɑ̃ : pouvant
         ɛ̃tɛʁaktˈiv : interactive
             yzinˈɔʁ : usinor
                ʒˈɔn : jones
                mˈɛd : med
             vɑ̃dˈɛn : vanden
       lˈɛːjɔpˌə͡ʊld : léopold
                fˈɛd : fed
            evɑ̃tˈaj : éventail
            nɛksklˈy : n'exclut
             ʁyptˈyʁ : rupture
            ɔlɑ̃dˈɛz : hollandaise
               fˈaks : fax
              mɔtˈɔʁ : motors
        ʁeklamasjˈɔ̃ : réclamation
               sˈɔft : soft
             ʁekˈɔlt : récolte
          dezɛspwˈaʁ : désespoir
                 wˈi : oui
            lameʁˈik : l'amérique
           immedjˈat : immédiate
          fɑ̃tastˈik : fantastique
            dafiʃˈaʒ : d'affichage
              syfˈiz : suffisent
            baʁbaʁˈa : barbara
               vɛjˈe : veiller
                pnˈø : pneus
           ʁɛktisˈɛl : recticel
              diʁˈiʒ : dirige
              lakˈœj : l'accueil
             dɑ̃ʒʁˈø : dangereux
            mitɛʁˈɑ̃ : mitterrand
                bˈit : bits
              dʁwˈat : droite
              kɔlˈɔk : colloque
         nɔminasjˈɔ̃ : nomination
              kʁədˈo : credo
               kʁˈak : krach
            ameljˈɔʁ : améliore
                bwˈa : bois
             sablˈɔ̃ : sablon
           ʁədəvˈabl : redevable
             maʁsˈɛl : marcel
             tɑ̃dˈɛm : tandem
         laktyalitˈe : l'actualité
             atɑ̃dˈɛ : attendait
              lekˈip : l'équipe
          laʁʒɑ̃tˈin : l'argentine
             tʁadyˈi : traduit
          ɛ̃teɡʁˈɑ̃t : intégrante
              demˈaʁ : démarre
            lˈoʁskɔ̃ : lorsqu'on
           pʁefeʁˈɔ̃ : préférons
              kʁˈɛnj : craignent
              fɔ̃dˈy : fondu
              pɛʁmˈɛ : permet
               pikˈe : picqué
        leʒislasjˈɔ̃ : législation
             sɔʁtˈiʁ : sortir
        dɔbliɡasjˈɔ̃ : d'obligations
              netˈɑ̃ : n'étant
           myzylmˈɑ̃ : musulmans
             dɛspˈas : d'espace
              fəzˈɑ̃ : faisant
               fyˈiʁ : fuir
           ʁɑ̃pɔʁtˈe : remporté
             miʁˈakl : miracle
           ɛ̃tɛʁdˈiʁ : interdire
        dɛstʁyksjˈɔ̃ : destruction
              paʁmˈi : parmi
            skyltˈœʁ : sculpteur
            kaʁemˈɑ̃ : carrément
               sˈɛʁv : servent
           apaʁtjˈɛ̃ : appartient
            adekwˈat : adéquate
               vˈitʁ : vitres
         kɔ̃sɔʁsjˈɔm : consortium
           nədɛʁlˈɑ̃ : nederland
         spekylatˈiv : spéculative
           telefɔnˈe : téléphoner
          tʁaktəbˈɛl : tractebel
            salɔmˈɔ̃ : salomon
            lɔpsjˈɔ̃ : l'option
              bujˈɔ̃ : bouillon
       ɛksklyzivmˈɑ̃ : exclusivement
             iʁlˈɑ̃d : irlande
              sɑ̃sˈe : censé
              defˈœ̃ : défunt
        esɑ̃sjɛlmˈɑ̃ : essentiellement
            ekʁitˈyʁ : écriture
        ɛ̃stʁyksjˈɔ̃ : instructions
          tyʁbylˈɑ̃s : turbulences
                alˈi : allie
               nˈɔtʁ : notre
           datlɑ̃tˈa : d'atlanta
             wˈœːʁld : world
             ljɔnˈɛz : lyonnaise
           ʁafinmˈɑ̃ : raffinement
              kyˈivʁ : cuivre
              palˈɛt : palette
              fasˈɛt : facettes
               ʒozˈe : josé
        deɡystasjˈɔ̃ : dégustation
            fakyltˈe : faculté
           ʒˈɑ̃mˈaʁk : jean-marc
              ʁəʒtˈe : rejeté
          taksasjˈɔ̃ : taxation
            ʁekɔltˈe : récolter
               səʁˈe : serez
                tˈɛ̃ : teint
             sɔfʁˈiʁ : s'offrir
          definitˈiv : définitive
       distʁibysjˈɔ̃ : distribution
             dəmjˈœʁ : demi-heure
              səlyˈi : celui
             sɑ̃tʁˈo : centraux
           lytilitˈe : l'utilité
              ɔʁˈakl : oracle
               pˈaʁt : partent
            debuʁsˈe : débourser
                mˈɛʁ : mer
                ʒˈɛʁ : geert
              ʁətˈiʁ : retire
              ɑ̃sˈɛɲ : enseigne
              ekɔlˈo : ecolo
                lˈɛz : l'aise
           aʁʒɑ̃tˈin : argentine
           ʁəpʁənˈœʁ : repreneur
            sɛ̃stˈal : s'installe
       favɔʁabləmˈɑ̃ : favorablement
              apetˈi : appétit
          dɛ̃vɛstˈiʁ : d'investir
           dɛksɛlˈɑ̃ : d'excellents
               vwˈal : voile
              didjˈe : didier
         pʁɔɡʁɛsjˈɔ̃ : progression
          lɔbʒɛktˈif : l'objectif
            jeʁaʁʃˈi : hiérarchie
         sideʁyʁʒˈik : sidérurgique
               alˈɑ̃ : allant
           dɑ̃sˈɑ̃bl : d'ensemble
           fʁɑ̃ʃizˈe : franchisés
              mɛʁsˈi : merci
            pˈawœʁpk : powerpc
               kaʃˈɛ : cachet
              mɔskˈu : moscou
              fʁˈɑ̃s : france
              tʁˈɑ̃t : trente
             pɔsedˈɛ : possédait
                ʒˈɛl : gel
            sufʁˈɑ̃s : souffrance
                 kˈɛ : qu'est
                mjˈø : mieux
             lavɔkˈa : l'avocat
        tyʁbɔdjəzˈɛl : turbodiesel
              sɛʁnˈe : cerner
             vɛ̃sˈɑ̃ : vincent
              nˈɔvɛl : novell
         lɔʁdinatˈœʁ : l'ordinateur
            stəfaˈɑ̃ : stefaan
           pɔʁsəlˈɛn : porcelaine
   dˈɔːd͡ʒœːʁdhjˌuːi : d'aujourd'hui
              maʁˈɛ̃ : marin
            tɑ̃dʁˈɛs : tendresse
          fjabilitˈe : fiabilité
             akœjˈiʁ : accueillir
               avnˈy : avenue
             tɛʁmˈik : thermique
            pɛʁmɛtˈɛ : permettait
        ɔʁɡanizatˈœʁ : organisateurs
            dibˌeˈɛm : d'ibm
             ʁeysˈiʁ : réussir
           tɔtalmˈɑ̃ : totalement
            fiɡyʁˈɑ̃ : figurant
            deʁapˈaʒ : dérapage
              kokˈœ̃ : qu'aucun
              ˈɛʁnst : ernst
           ʁəpɔʁtˈaʒ : reportage
            ɔʁiʒinˈo : originaux
         ɛ̃kʁwajˈabl : incroyable
              ʁɔbkˈo : robeco
                pwˈa : poids
           letʁɑ̃ʒˈe : l'étranger
             laktˈif : l'actif
               avˈal : aval
              lefˈɔʁ : l'effort
               sˈibl : cible
      ɛ̃stitysjɔnˈɛl : institutionnels
              ɛspˈaɲ : espagne
          nɔtɔʁjetˈe : notoriété
         asyʁˈɑ̃svˈi : assurance-vie
             ɑ̃vlˈɔp : enveloppe
             maʁkˈɛt : market
            tʁadyˈiʁ : traduire
              pˈawœʁ : power
              danwˈa : danois
            pʁɔdyˈiz : produisent
                mˈas : masse
       dytilizasjˈɔ̃ : d'utilisation
         pʁydɑ̃sjˈal : prudential
             ɔbtnˈiʁ : obtenir
           pʁɔtɔkˈɔl : protocole
      dɑ̃ʁʒistʁəmˈɑ̃ : d'enregistrement
          pʁezɑ̃tʁˈa : présentera
              ʁətˈuʁ : retour
        lɛkspʁɛsjˈɔ̃ : l'expression
             filˈips : philips
              lymˈuʁ : l'humour
           kɔ̃sɑ̃sˈy : consensus
           sameljˈɔʁ : s'améliore
               aʁˈab : arabe
              ekʁˈɛ̃ : écrin
          dekɔʁatˈif : décoratifs
         dabitasjˈɔ̃ : d'habitation
              klimˈa : climat
             diksˈɔ̃ : dixon
            loʁskˈil : lorsqu'ils
               depˈi : dépit
             lotʁˈiʃ : l'autriche
        pʁɔtaɡɔnˈist : protagonistes
             pʁɔfˈɔ̃ : profond
         ʁwajˈomynˈi : royaume-uni
             ʒilbˈɛʁ : gilbert
           kʁwasˈɑ̃s : croissance
       dɛkspozisjˈɔ̃ : d'exposition
             ynivˈɛʁ : univers
             kʁislˈe : chrysler
     delɔkalizasjˈɔ̃ : délocalisation
              fɔʁˈɔm : forum
              ɔlˈɑ̃d : hollande
        elɛktʁafinˈa : electrafina
        kɔ̃danasjˈɔ̃ : condamnation
            lapaʁˈɛj : l'appareil
                sˈav : savent
        immedjatmˈɑ̃ : immédiatement
          ʁəkʁytmˈɑ̃ : recrutement
         lapaʁisjˈɔ̃ : l'apparition
              tənˈœʁ : teneur
       akseleʁasjˈɔ̃ : accélération
          kadastʁˈal : cadastral
            dapɔʁtˈe : d'apporter
               desˈɛ : d'essai
           wɔlˈə͡ʊni : wallonie
        kɔ̃fɔʁmemˈɑ̃ : conformément
               leˈɔ̃ : léon
            libʁɛʁˈi : librairie
             petʁˈɔl : pétrole
         kɔ̃sɛpsjˈɔ̃ : conception
                ˈœʁt : heurte
              akœjˈi : accueilli
         ɛkspɑ̃sjˈɔ̃ : expansion
           ɛksplwˈat : exploite
              amuʁˈø : amoureux
               lytˈe : lutter
             ʃɑ̃tˈal : chantal
              ɑ̃pˈiʁ : empire
              kɔnˈɛs : connaissent
            klɛ̃tˈɔ̃ : clinton
               salˈy : salut
               dɔʁˈe : doré
             kɔ̃fˈɔʁ : confort
           laksidˈɑ̃ : l'accident
           fɔʁmylˈɛʁ : formulaire
                lˈyt : lutte
              mˈɛːjd : made
             kikˈɔ̃k : quiconque
            distˈɛ̃ɡ : distingue
             kalifˈi : qualifie
                pˈuʁ : pour
         sɛksyalitˈe : sexualité
          lotomɔbˈil : l'automobile
       kɔ̃syltasjˈɔ̃ : consultation
            otʁəmˈɑ̃ : autrement
        siɲifikatˈif : significatif
            kʁistˈɔf : christophe
               saʒˈi : s'agit
            ɛ̃ʃɑ̃ʒˈe : inchangé
            kɔ̃tjˈɛ̃ : contient
           bɛlɡakˈɔm : belgacom
          lɑ̃ɡlətˈɛʁ : l'angleterre
       lɔkalizasjˈɔ̃ : localisation
            lɑ̃plwˈa : l'emploi
         detɛʁminˈɑ̃ : déterminant
               kˈɔːl : call
             fuʁnˈiʁ : fournir
             mɔbytˈy : mobutu
            nɔ̃bʁˈøz : nombreuses
             kautʃˈu : caoutchouc
            ɔɔɡɔvˈɛn : hoogovens
               metˈo : métaux
           fʁaksjˈɔ̃ : fraction
       flɛksibilitˈe : flexibilité
             ʁeɡlˈaʒ : réglage
              paʁˈɛs : paraissent
            danɔ̃sˈe : d'annoncer
            kɔ̃pʁˈɛn : comprennent
                bˈɔb : bob
             emɛtˈɑ̃ : émettant
              dypˈɔ̃ : dupont
            lanalˈiz : l'analyse
      ʁəpʁezɑ̃tatˈif : représentatif
              lɔtˈys : lotus
            ɐhˈə͡ʊld : ahold
            tʁavˈɛʁs : traverse
            spitaˈɛl : spitaels
               ɔpˈɛl : opel
           paʁtizˈɑ̃ : partisans
               palˈɛ : palais
            dɛskˈɔ̃t : d'escompte
           ylteʁjˈœʁ : ultérieure
               dəˈɔʁ : dehors
             paʁɛsˈɛ : paraissait
           psikɔlˈɔɡ : psychologue
           validitˈe : validité
              ʃiʁˈak : chirac
          ɛɡzɛkytˈiv : executive
        ʁezɛʁvasjˈɔ̃ : réservation
          sɛ̃kɑ̃tˈɛn : cinquantaine
             swanjˈe : soigner
             kuvˈɛʁt : couverte
          puʁsɑ̃tˈaʒ : pourcentage
                emˈɛ : émet
            kɔezjˈɔ̃ : cohésion
           aplikˈabl : applicable
               klˈɛ̃ : klein
              tʃekˈi : tchéquie
              ʁəkˈiz : requise
             ʁəvˈɑ̃ʃ : revanche
                vˈif : vif
           manjetˈik : magnétique
           ʁalɑ̃tˈiʁ : ralentir
               baˈɑ̃ : baan
      kɔ̃fiɡyʁasjˈɔ̃ : configuration
                vˈan : van
               ʁənˈe : rené
    pʁɔpɔʁsjɔnɛlmˈɑ̃ : proportionnellement
         natyʁɛlmˈɑ̃ : naturellement
            dɛspwˈaʁ : d'espoir
               fjˈɛʁ : fier
              tytˈɛl : tutelle
            viktwˈaʁ : victoire
      dɔkymɑ̃tasjˈɔ̃ : documentation
              tipˈik : typique
               dɛdˈe : d'aider
          lɑ̃ɡustˈin : langoustines
              nɛtˈɛl : n'est-elle
         jˌuʁʁœpˈiʁn : european
               ʁəlˈi : relie
       loɡmɑ̃tasjˈɔ̃ : l'augmentation
             fabʁˈik : fabrique
           ɔ̃klˈɛ̃ks : onkelinx
              lɑ̃vˈi : l'envie
       ɛ̃depɑ̃damˈɑ̃ : indépendamment
              kavˈɑ̃ : qu'avant
             lepˈaʁɲ : l'épargne
               ʒavˈɛ : j'avais
                epˈu : époux
               lisˈy : l'issue
             twalˈɛt : toilette
            afʁikˈɛn : africaine
              noʁˈɔ̃ : n'auront
              ʒilˈɛt : gillette
               djˈɛʁ : d'hier
               asjˈe : acier
              fotˈœj : fauteuil
              hˈɛnʁi : henry
            pʁetˈɑ̃d : prétendent
           ʁˈɛːjtɪŋz : ratings
              lotˈɔn : l'automne
           ʁetablˈiʁ : rétablir
      hjˈuːlɪtpakˈaʁ : hewlett-packard
              ʁˈɑ̃tʁ : rentre
              baɡˈaʒ : bagages
               pˈaʁs : parce
           dɑ̃viʁˈɔ̃ : d'environ
               esˈɔʁ : essor
            kɔ̃bjˈɛ̃ : combien
          lasɑ̃blˈaʒ : l'assemblage
          dedyktˈibl : déductibles
               savˈɛ : savait
             paʁtˈɑ̃ : partant
                ɡˈaʁ : gare
         fotoɡʁafˈik : photographique
             ʃwazˈis : choisissent
               dˈinj : dignes
               skˈɔʁ : score
               dəmˈi : demi
       ʁevɔlysjɔnˈɛʁ : révolutionnaire
             tʁavˈɛl : travel
                dyˈo : duo
               bˈuːm : boom
                 dˈu : doux
          ʒiɡɑ̃tˈɛsk : gigantesque
          ʁealizˈabl : réalisable
          kɔkˈakɔlˈa : coca-cola
              kɑ̃pˈo : campo
  kwˈɔːd͡ʒœːʁdhjˌuːi : qu'aujourd'hui
               sˈɛʁʒ : serge
              dekˈip : d'équipe
         lalyminjˈɔm : l'aluminium
             lavˈɑ̃s : l'avance
              samdˈi : samedi
            lasyʁˈœʁ : l'assureur
              etʁwˈa : étroit
               tʁˈɑ̃ : trends
           kilɔɡʁˈam : kg
               aʃvˈe : achevé
           wˈɔʃɪŋtœn : washington
            dekuvˈɛʁ : découvert
          desɛpsjˈɔ̃ : déception
           ɛ̃dɔnezˈi : indonésie
        sɑ̃sibləmˈɑ̃ : sensiblement
                ʃˈɛl : shell
          ʁevelatˈœʁ : révélateur
              bjˈɛst : biest
      lameljɔʁasjˈɔ̃ : l'amélioration
        ˌaʃtˌetˌepˈe : http
           mɛksikˈɛ̃ : mexicain
          ɡʁˈiːnpiːs : greenpeace
           filozɔfˈi : philosophie
              detˈuʁ : détour
               dˈaʁm : d'armes
               ˈaʁbd : arbed
            feminˈin : féminine
              satˈɛ̃ : satin
            sypozˈɔ̃ : supposons
        kʁiminalitˈe : criminalité
             dimˈɑ̃ʃ : dimanche
              ʁɛstˈɛ : restait
      kɔ̃sɑ̃tʁasjˈɔ̃ : concentration
            asɔsjˈat : associates
             kɛlkˈœ̃ : quelqu'un
              yltˈim : ultime
            mɔnymˈɑ̃ : monuments
              wˈə͡ʊn : one
           maskylˈin : masculine
              ʁəpˈɔʁ : report
             viʁʒˈin : virgin
          sɛ̃tɛʁɔʒˈe : s'interroger
         kɔɔpeʁatˈiv : coopérative
             dadʁˈɛs : d'adresses
                pˈan : panne
              sudˈɛ̃ : soudain
           ʁɔmɑ̃tˈik : romantique
          lɛ̃flyˈɑ̃s : l'influence
            labitˈyd : l'habitude
        tɑ̃pɔʁɛʁmˈɑ̃ : temporairement
            ɛɡzistˈɛ : existait
         ɛ̃syfizˈɑ̃t : insuffisante
             kɔnɛsˈɛ : connaissait
          lapeʁitˈif : l'apéritif
          lasistˈɑ̃s : l'assistance
              lynˈik : l'unique
             dɛstˈɛ̃ : destin
           sutʁɛtˈɑ̃ : sous-traitants
             denˈɔ̃s : dénonce
             danjˈɛl : daniel
            eɡalmˈɑ̃ : également
           delaʁʒˈiʁ : d'élargir
         tʁɑ̃zisjˈɔ̃ : transition
                bˈuʃ : bouche
             vɛ̃tˈɛn : vingtaine
             lavjˈɔ̃ : l'avion
             etɔnˈɑ̃ : étonnant
              emˈɛtʁ : émettre
                asˈe : assez
            ʁɑ̃fˈɔʁs : renforce
            nɛtwajˈe : nettoyer
             klaʁtˈe : clarté
           defɑ̃sˈiv : défensive
                kˈyʁ : cure
         kɑ̃didatˈyʁ : candidature
         meditɛʁanˈe : méditerranée
              kɔmˈɑ̃ : comment
                sˈʌn : sun
             tʁuvˈɔ̃ : trouvons
          apʁesjˈabl : appréciable
          ɛ̃syfizˈɑ̃ : insuffisant
        lɛ̃tɛliʒˈɑ̃s : l'intelligence
               dyˈil : d'huile
      detɛʁminasjˈɔ̃ : détermination
            ɛspeʁˈɔ̃ : espérons
           ʁəliʒjˈɔ̃ : religion
              mˈœʁtʁ : meurtre
          teletˈɛkst : télétexte
          kɔ̃sɛʁvˈɑ̃ : conservant
               dəˈɑ̃ : dehaene
              kɔ̃tˈɛ : comptait
              tʁaʒˈɛ : trajet
         ɛ̃sɛʁtitˈyd : incertitudes
               tˈɑ̃d : tendent
             deplwˈa : déploie
         pʁimɔʁdjˈal : primordial
              lasjˈe : l'acier
             bʁasˈœʁ : brasseur
       delɛktʁisitˈe : d'électricité
               fɔlˈi : folie
             ljeʒwˈa : liégeois
           manipylˈe : manipuler
               sˈɔld : solde
            ɛ̃dɛksˈe : indexé
          ɔpozisjˈɔ̃ : opposition
             atɛnjˈɛ : atteignait
           leɡalitˈe : l'égalité
           danalizˈe : d'analyser
                 pˈi : pis
        lɑ̃viʁɔnmˈɑ̃ : l'environnement
               ekˈut : écoute
         ɔbsɛʁvatˈœʁ : observateurs
             ʁezˈudʁ : résoudre
                ʒuˈi : jouit
               vjˈɛ̃ : vient
                lˈɛ̃ : lin
          enɔʁmemˈɑ̃ : énormément
       pʁɛ̃sipalmˈɑ̃ : principalement
               alˈɔʁ : alors
               lˈaʁm : larmes
        dapʁɑ̃tisˈaʒ : d'apprentissage
             fʁɛnˈaʒ : freinage
           dɛ̃teʁˈim : d'intérim
         pʁedesɛsˈœʁ : prédécesseur
             tɛʁmˈin : termine
               lˈuvʁ : louvre
            veʁɔnˈik : véronique
            ekilˈibʁ : équilibre
        ɛ̃depɑ̃dˈɑ̃s : indépendance
             pʁizˈɔ̃ : prison
             sityˈɑ̃ : situant
            kʁˈɛːjfs : creyf's
            lˈoʁskœ̃ : lorsqu'un
            ɛkspʁˈɛs : express
            pʁɔvjˈɛn : proviennent
        kɔ̃sɔmasjˈɔ̃ : consommation
              tɔbˈak : tobback
              sinjˈo : signaux
               velˈo : vélo
               fulˈe : foulée
    bʁyksˈɛlkapitˈal : bruxelles-capitale
        ɛ̃teɡʁalmˈɑ̃ : intégralement
            ˈipaʁˈad : hit-parade
            aɡʁɛsˈiv : agressive
             ɛ̃tʁˈim : interim
              stʁˈɛs : stress
              viɡˈœʁ : vigueur
             patʁˈik : patrick
             dafʁˈik : d'afrique
          diʁɛktʁˈis : directrice
                vˈœl : veulent
             melɔdˈi : mélodies
               plˈɛʁ : plaire
            lɛspwˈaʁ : l'espoir
            fʁekˈɑ̃s : fréquence
         ʁepetisjˈɔ̃ : répétition
         tʁadyksjˈɔ̃ : traduction
        dɛ̃tɛʁvənˈiʁ : d'intervenir
           lanɔnimˈa : l'anonymat
            danalˈiz : d'analyse
         dekɔʁasjˈɔ̃ : décoration
              fɔkˈys : focus
               nɔtˈe : noter
                dˈoz : dose
            kɛ̃ʃazˈa : kinshasa
            ʁesamˈɑ̃ : récemment
               pəzˈo : peso
         ʁealizatˈœʁ : réalisateur
               lˈɔkd : l'ocde
            kɔʁamˈik : koramic
                 mˈi : mis
            lɑ̃fˈɑ̃s : l'enfance
            evidˈɑ̃t : évidente
            kɔ̃sˈist : consiste
           ɑ̃vɛʁswˈa : anversois
            denɛʁʒˈi : d'énergie
            minimˈal : minimale
              blˈɔ̃d : blonde
          kɔ̃pɔʁtˈɑ̃ : comportant
          kastɛʁmˈan : casterman
               sɔlˈo : solo
          pʁefeʁˈabl : préférable
              mamˈɑ̃ : maman
               plˈɔ̃ : plomb
            abityˈɛl : habituel
               plyˈi : pluie
              stˈɑ̃d : stand
              kalmˈe : calmer
             lɛspˈas : l'espace
                ˈiks : x
            pavijˈɔ̃ : pavillon
           ytilizˈɑ̃ : utilisant
             madʁˈid : madrid
             aksedˈe : accéder
              sɛʁvˈɛ : servais
              davˈɑ̃ : d'avant
              astʁˈa : astra
           ʁɛjɔnmˈɑ̃ : rayonnement
        ytilizasjˈɔ̃ : utilisation
             tɛlmˈɑ̃ : tellement
              kˈɔ̃tʁ : contre
      lɑ̃ʁʒistʁəmˈɑ̃ : l'enregistrement
              limˈaʒ : l'image
          syʁpʁənˈɑ̃ : surprenant
             syʁplˈy : surplus
          alɔkasjˈɔ̃ : allocations
           pedɔfilˈi : pédophilie
             dɔfʁˈiʁ : d'offrir
              simˈɑ̃ : ciment
           ɔʁjɑ̃tˈal : orientale
             ɛʁstˈal : herstal
            ʒɛstjˈɔ̃ : gestion
       lɑ̃tʁəpʁənˈœʁ : l'entrepreneur
              atˈɑ̃d : attendent
             teʁapˈi : thérapie
          daksjɔnˈɛʁ : d'actionnaires
       depʁesjasjˈɔ̃ : dépréciation
